1,43
2,43
3,43
4,44
5,43
6,44
7,44
8,44
9,44
10,45
11,45
12,45
13,45
14,45
15,45
16,45
17,45
18,45
19,45
20,45
21,45
22,44
23,43
24,43
25,43
26,42
27,42
28,41
29,40
30,40
31,40
32,39
33,39
34,39
35,38
36,38
37,38
38,37
39,37
40,37
41,37
42,36
43,36
44,36
45,36
46,35
47,35
48,35
49,35
50,35
51,35
52,35
53,35
54,35
55,34
56,34
57,34
58,34
59,34
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,33
68,33
69,33
70,32
71,31
72,31
73,30
74,30
75,29
76,28
77,28
78,27
79,27
80,26
81,26
82,25
83,24
84,24
85,24
86,23
87,23
88,23
89,22
90,22
91,22
92,21
93,21
94,20
95,20
96,20
97,20
98,20
99,19
100,19
101,19
102,19
103,19
104,18
105,18
106,18
107,18
108,18
109,18
110,17
111,17
112,17
113,17
114,17
115,17
116,17
117,17
118,17
119,16
120,16
121,16
122,16
123,16
124,16
125,16
126,16
127,16
128,16
129,16
130,15
131,16
132,16
133,15
134,15
135,15
136,15
137,15
138,15
139,15
140,14
141,14
142,15
143,15
144,15
145,14
146,14
147,14
148,14
149,14
150,14
151,14
152,14
153,14
154,13
155,13
156,13
157,13
158,13
159,13
160,13
161,13
162,13
163,13
164,13
165,13
166,13
167,13
168,13
169,13
170,12
171,12
172,12
173,13
174,13
175,13
176,13
177,13
178,13
179,13
180,12
181,13
182,13
183,13
184,12
185,12
186,12
187,12
188,12
189,12
190,12
191,12
192,11
193,11
194,11
195,11
196,11
197,11
198,11
199,11
200,11
201,10
202,11
203,10
204,11
205,11
206,10
207,10
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,9
218,9
219,10
220,10
221,9
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,8
242,9
243,9
244,9
245,8
246,8
247,8
248,8
249,8
250,9
251,8
252,8
253,8
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,8
271,8
272,7
273,8
274,8
275,8
276,8
277,7
278,7
279,7
280,7
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,9
290,9
291,9
292,9
293,10
294,10
295,10
296,10
297,11
298,11
299,11
300,12
301,12
302,13
303,14
304,14
305,15
306,16
307,17
308,18
309,19
310,19
311,20
312,21
313,22
314,22
315,23
316,24
317,24
318,25
319,25
320,26
321,27
322,27
323,27
324,28
325,29
326,29
327,30
328,30
329,30
330,30
331,30
332,31
333,31
334,31
335,31
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,29
344,29
345,29
346,29
347,28
348,28
349,28
350,27
351,28
352,27
353,26
354,25
355,24
356,23
357,23
358,23
359,22
360,21
361,20
362,20
363,19
364,19
365,18
366,18
367,18
368,17
369,17
370,16
371,16
372,16
373,15
374,15
375,15
376,14
377,14
378,14
379,14
380,13
381,13
382,13
383,13
384,13
385,12
386,12
387,12
388,12
389,12
390,11
391,12
392,11
393,11
394,11
395,11
396,10
397,11
398,11
399,11
400,11
401,10
402,10
403,10
404,10
405,10
406,10
407,10
408,9
409,10
410,9
411,10
412,9
413,9
414,9
415,9
416,8
417,8
418,9
419,8
420,9
421,8
422,8
423,9
424,8
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,8
434,8
435,8
436,8
437,8
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,9
446,8
447,9
448,9
449,9
450,9
451,9
452,9
453,9
454,9
455,9
456,10
457,10
458,10
459,10
460,10
461,10
462,10
463,10
464,10
465,10
466,10
467,10
468,10
469,11
470,10
471,10
472,10
473,10
474,11
475,11
476,11
477,11
478,10
479,11
480,11
481,11
482,11
483,11
484,11
485,11
486,12
487,11
488,12
489,12
490,12
491,12
492,12
493,13
494,13
495,13
496,14
497,13
498,13
499,14
500,14
501,14
502,15
503,15
504,15
505,15
506,16
507,16
508,16
509,16
510,17
511,17
512,17
513,17
514,17
515,18
516,18
517,18
518,18
519,18
520,19
521,18
522,19
523,19
524,19
525,19
526,20
527,20
528,20
529,20
530,20
531,20
532,20
533,21
534,21
535,22
536,23
537,23
538,24
539,24
540,25
541,26
542,27
543,28
544,28
545,28
546,29
547,29
548,30
549,30
550,31
551,31
552,32
553,32
554,32
555,33
556,33
557,33
558,33
559,34
560,34
561,34
562,34
563,35
564,35
565,35
566,35
567,36
568,37
569,37
570,38
571,38
572,39
573,40
574,40
575,40
576,41
577,41
578,42
579,42
580,43
581,43
582,44
583,44
584,44
585,44
586,44
587,45
588,45
589,45
590,45
591,45
592,45
593,45
594,46
595,45
596,46
597,46
598,46
599,46
600,46
601,46
602,46
603,46
604,46
605,45
606,46
607,46
608,46
609,46
610,45
611,46
612,46
613,45
614,45
615,45
616,45
617,45
618,45
619,45
620,45
621,45
622,45
623,45
624,45
625,45
626,45
627,45
628,45
629,45
630,45
631,45
632,45
633,45
634,44
635,43
636,43
637,42
638,41
639,40
640,39
641,38
642,37
643,36
644,35
645,34
646,33
647,32
648,32
649,31
650,31
651,29
652,29
653,28
654,27
655,27
656,27
657,26
658,25
659,25
660,24
661,24
662,24
663,23
664,23
665,23
666,22
667,21
668,21
669,20
670,20
671,19
672,19
673,18
674,18
675,18
676,17
677,16
678,16
679,15
680,15
681,15
682,15
683,14
684,14
685,13
686,13
687,13
688,13
689,12
690,12
691,12
692,12
693,12
694,12
695,11
696,12
697,11
698,11
699,11
700,11
701,10
702,10
703,10
704,10
705,10
706,11
707,10
708,10
709,10
710,10
711,11
712,10
713,10
714,10
715,10
716,10
717,10
718,10
719,10
720,10
721,10
722,10
723,10
724,10
725,10
726,10
727,10
728,10
729,10
730,10
731,10
732,10
733,10
734,10
735,10
736,11
737,10
738,10
739,11
740,11
741,11
742,11
743,12
744,11
745,12
746,12
747,12
748,12
749,12
750,13
751,13
752,13
753,13
754,13
755,13
756,14
757,14
758,14
759,13
760,13
761,14
762,14
763,14
764,14
765,14
766,14
767,14
768,15
769,14
770,14
771,15
772,15
773,15
774,15
775,15
776,15
777,15
778,15
779,15
780,15
781,15
782,16
783,15
784,15
785,15
786,15
787,15
788,15
789,15
790,15
791,15
792,15
793,15
794,15
795,15
796,15
797,15
798,15
799,15
800,15
801,15
802,15
803,15
804,15
805,15
806,15
807,15
808,15
809,15
810,15
811,15
812,15
813,15
814,15
815,14
816,15
817,15
818,15
819,15
820,15
821,15
822,15
823,15
824,15
825,15
826,15
827,15
828,15
829,15
830,15
831,15
832,15
833,15
834,15
835,15
836,15
837,16
838,16
